0,0,137742915,137427452,137972479,137603548,138062855,138062499,137393148,137566408,137362527,137649877,137803900,137652868,138086114,137714722,137993902,138055714,137697379,137499651,139017635,137702526,138004284,137718545,137656770,137806814,138067900,137728240,137244327,137415934,137360762,137742786,137739878,137489723,137602050,137250071,138029254,137590880,137642556,137624933,137658313,137523040,137572816,137778334,137497018,137841294,137752867,137877661,137670351,137556443,137626907,137434942,137016952,137902484,137975113,137524359,139615503,137573602,137427178,137555220,137471086,137771357,137044966,137442642,137797448,137405042,137237182,137886222,137426756,137508942,137703792,137710761,137559296,137843177,137522727,137853036,137566577,137941522,137648956,137479256,137845185,137877598,137863722,137979876,137686989,138957912,136901240,137334624,137130914,137139117,137240363,137206350,137512728,137563981,137388888,137431605,137450343,137728072,137487296,137459639,137723719
0,396493937,238206799,238780237,238533053,238822605,239072311,238847203,238445871,238469959,238497201,238438995,239359093,238853511,238987194,238612341,238709031,238437411,238176891,238190880,238706329,238902526,239163953,238708657,238554454,238334945,238757297,238655193,239759362,237870730,238318502,238446620,238274955,238769890,238652802,238355352,239174193,238369848,238652123,238642218,238712237,238434164,238429516,238842414,238224900,238957985,238254899,239041582,238772686,239734662,238479058,238862071,238287914,238997206,238697472,238487465,238414376,238044897,238362460,238477639,238761554,238437000,238219004,238441211,238557963,238360602,238468933,238901310,238088983,238222045,238662579,244139091,238518406,239181208,238123039,238803524,238619614,238739634,237990547,238608940,238671787,238630236,238961721,238865558,238399618,238680796,237988027,238286581,238515763,238006455,237904198,237816974,237781633,237992776,238243022,238346836,238191543,238402390,237818593,238314622,238038640
1,137600209,137925812,137158161,137663216,137344764,137723581,137661171,136968063,137476262,137782703,137982062,138035501,137629268,137399927,137537826,137492902,137224430,137225127,137619796,137452637,137498594,137764066,137871851,137742238,137696806,137718760,137228278,137321463,137971369,137174343,137437793,137769891,137676500,137247749,137753079,137309711,137368212,137465755,137568427,137187214,137399786,137415769,137497907,137260064,137737270,137437812,137605810,137645184,137813804,137241199,145310319,137688114,137335261,137736714,137521056,137819861,137307031,137787209,137173982,137673416,137156100,137678350,137390124,137268416,137808951,139846664,137177129,137271666,137343660,137210370,137087652,137266166,137758354,137402434,137255623,137593131,137158709,137995887,137073258,137752021,137519488,137476033,137746407,137424192,137559141,137186245,137505425,137283418,137952733,137402159,137515198,137617717,137423130,137253706,137480398,137402790,137272180,137602649,137548534,137187459
1,237950214,238005919,237746304,238511982,238097528,239008626,238072680,237934133,238394735,238616914,238552667,238509153,238270284,238221178,237869428,238842451,238131638,238021541,238632335,238560855,238468399,238310754,238917234,238597985,238737178,238830701,238116465,238468944,238667897,238126082,238111585,238560421,238481983,238478156,238850712,238435656,237853228,238122649,238509148,238375224,238202648,238499882,238181894,237907084,238462815,238312309,238139616,237812575,238530907,237848894,238636496,238118556,237956051,238718009,238526241,238639991,238242873,238689224,238167902,238619717,238160226,238643777,238221463,238213916,238321186,240777800,237815075,237771227,238248062,237927825,238134132,238529438,238401279,238076771,238504631,237854449,238144597,238394175,237841407,238095261,239237408,238314037,238462843,238272966,238151283,238037249,238853097,237825641,238371264,238215169,238105815,238569563,238327360,238295436,238334686,238366634,237590439,238508858,237924345,238116345
2,137591483,137029148,138270468,137809141,137711681,137190366,137298753,137475491,137783298,137529627,137683717,137946973,137723379,136971029,137528693,138021588,137573995,137575731,137929524,137459522,137338937,137421905,137305219,137683215,137216758,137330136,137588474,137887787,137713548,137432706,137010254,137130033,137719442,137118303,137396913,137185264,137185419,137965858,137162448,137580463,137815161,137677667,137552030,137682176,137486511,137847582,137674807,137211922,137636469,137214540,137291848,137509850,136944829,137359345,137525047,137297383,137319220,137616369,137758502,137524630,138496494,137340761,137824251,137605925,137756905,137300020,137843469,137061684,137249991,137783198,137544408,137156865,137361539,137510238,137590141,137726016,137500822,137506668,137341494,137251952,137505812,137606120,137206966,137713251,137384542,137344081,137265394,137596117,137571557,137389688,137469271,137513115,137291493,137801962,137519126,137642004,137233872,137309052,137678482,137859332
2,238068812,237836018,238496854,238435819,237998481,238193193,237940766,237812354,238944311,238489627,238254664,238960855,238328787,238072163,238379890,238604641,237951241,238454681,238399270,238591920,238089383,238008347,237739345,237901355,238129485,238249678,238430856,238479896,238921535,238587561,237822150,239865428,237950115,238071556,238008894,237870170,237804554,238279610,239442576,238266966,238412744,238297220,238894986,238451609,238263853,238606136,238195008,238155121,238485506,238120383,237999783,238453875,238061552,238655984,238160693,238156792,238249657,238448269,238473275,237696151,238510760,238424902,238131298,238171474,238743445,238307941,238681374,237794321,237682449,238436584,238544227,238536673,237973582,238274968,238623191,238632923,237924569,238158197,238169326,238223734,237838120,238739065,237851011,238011270,238308457,238110784,238388368,238035176,238524634,240617545,238273970,238454649,238162662,238489834,237995736,238500471,238002407,238061737,238545486,238447847
3,137324732,137720667,137314866,137388282,141090117,137601642,137494947,137551629,137293271,137612808,137439761,137982551,137963677,137189735,137296354,137436230,137162832,137357332,137459275,137639970,137263205,137786408,137384846,137894499,137548071,138793999,137656121,136998901,137412387,137099521,137311792,137238768,137598938,137659451,137204810,137407247,137578996,137473152,137350263,137451805,137623852,137397721,137384751,137500112,137480012,137554860,137257424,137746096,137646217,137452402,137372997,137580593,137850690,137008965,137828288,137652824,137944433,137826777,137911276,137363379,137799002,137481329,137535714,137040789,137237228,137489062,137265945,137581092,137316262,137411692,137522157,137601417,137646550,137902037,137608375,137829495,137125328,137769184,137497905,137813814,137566154,137199186,137260094,137090912,137033647,137799511,137903119,137951165,137374844,137042141,137462560,137482883,137148653,137140976,137633583,138212884,137605819,137284495,137507104,137531043
3,238514084,238097450,237870318,238387389,240949650,238151235,238379768,238402923,238230785,238297584,238100771,237914517,238653149,237849139,237733179,238470635,237948693,238422953,238478110,238525120,238282646,238713047,237972797,238594738,238308944,238496090,238463918,237944071,238239982,237884011,238007940,238258719,238797877,238475485,237894058,238406475,238512189,238271559,238263059,237842520,239036652,238131711,238195551,238158260,238130545,238611963,238191718,238467889,238042681,238217016,238191365,237956965,238488369,237786752,240355928,238407774,238629728,238492570,238587838,238441306,239049072,238348946,238614130,237934005,237636837,238123864,246275652,237830671,238094407,238410498,238348634,238410992,238377262,238492961,238726506,238363949,237907184,238093307,238400178,238502431,238289664,237736641,238542128,237941469,237723928,238538879,238688462,238709540,238402735,237635221,238306509,237971187,237863748,238108370,238221918,238562232,238084226,237981021,238320477,238543556
4,137759510,137688114,137734203,137457833,137774110,137573976,137900238,137453039,138019193,137592872,137703892,137636811,138027145,137119201,137676541,137332903,137778402,137515848,137623037,137939738,137143522,137408047,137683985,137316115,137279782,137290325,137366733,140314943,137319220,137422395,137621490,137079583,137417884,137801649,137322698,137409098,137568703,137826297,137439931,137474304,137962067,137913119,138166622,137485586,138014403,137877243,137482882,137653944,137489471,137535930,137369972,137592937,137563619,137853881,137632193,137414021,137894627,137526879,137389480,137760709,137473806,137453278,137941222,137728820,137205462,137175528,137536291,137393457,137482566,137639944,137557733,137795152,137076156,137678610,137336840,137444033,137013766,137061180,137488188,137438608,137489253,137581252,137571430,137564583,137406257,137458619,136931802,140199996,136947700,137515379,137344022,137442965,137604508,137531075,137621197,137712210,137488808,137586010,137561698,137168109
4,238609976,238763854,238246857,238129684,239082257,239655390,238601548,238245138,238866568,238735812,238604169,238434924,238329184,237797179,238557379,238284177,238452093,238537116,238884983,238498070,238179641,237990194,238205335,238137664,237980927,237978267,238124870,238346030,238506312,238090698,238405347,238090621,238160072,238620474,238364940,238496440,238725312,238591633,238391553,238076496,238630310,238595370,238198142,238128616,238472304,238745187,238129965,238703660,238488781,238015444,238032047,238016808,238341846,238618122,238634209,237876903,238638447,238314257,237995475,238503270,238644686,238254904,238651091,238754110,238256812,238064609,238304970,237811991,238069421,238005464,238346678,239893169,237731200,238247253,237987534,238293121,238260063,237698218,237907030,238062169,238187704,238498977,238219740,239667056,238601832,238268754,237811931,239504966,237994986,238193238,238126113,238112570,238296718,238582466,238498409,238697824,237925409,238662165,238229782,237959754
5,137323164,138083493,137619166,137630553,137025118,137430009,137132582,137244188,137646689,137520071,137413104,137377419,137841837,138106425,137011251,140662730,137647988,137260949,137431472,136959936,137214286,137233911,136969488,137266600,137141508,137633702,137825964,137114931,137594243,137173852,137389287,137662162,137194302,137168865,137501200,137532631,137172395,139065858,137140272,138384451,137200015,137347320,137336949,137226867,137174571,137295231,137514149,137614241,137157460,137163741,137004964,137441853,137366529,137995780,141419513,137468939,137412067,137231654,137124940,137664932,137440341,137530050,137110724,137504836,136949900,137513989,137220671,137074944,137358212,137460630,137560498,137791113,137346229,137243895,137023114,137068472,137410647,137454744,137627411,137044096,137221885,137764936,137119552,137057864,137344043,137515698,137494363,137292072,137470059,137453990,137343314,137025734,137087864,137044872,137971214,137420390,137555683,137111502,137175144,137431960
5,237966911,237772027,238370030,238153095,237762931,238100850,237606541,237867761,238379218,237691461,238403249,238207639,239668181,238229969,237920701,237907422,238491165,238146552,238481572,237809024,238126647,238223197,237784329,237924051,237699860,239464125,238388372,237909253,240407791,238180707,238410840,238230836,237791634,237527961,238210264,238297166,237755541,239091671,238147078,238270317,237880099,238303741,238339863,237712649,241057252,237554368,238878044,238301773,237992355,238999613,237591770,237862805,238321948,239716459,238302906,238082236,238376344,237703848,239875484,238226564,238349905,238486144,238252771,238479767,238105023,238198767,238097635,238015715,239566437,238275618,238722848,239086322,238262038,238172394,237783282,238125374,238714760,238121834,238516801,238066545,237892986,238151956,238009404,237773729,237953244,237999305,237794988,237934276,238175558,237784860,237887742,238033632,237800127,238271853,238871396,238151545,238181727,237826766,237611149,238094281
6,137461776,137422172,137329281,137022883,137204816,137151583,137831472,137511613,138101726,137493013,137115001,137040907,137318447,137893200,136989144,137116192,137384675,137769588,137026545,137134075,137451986,137350879,137120115,141189018,137494100,137700348,137229996,137676924,137366179,137234352,137854361,137391466,137245618,137271879,137036958,137577251,137241607,137506242,137344582,137139439,137640496,137062070,137454335,137097723,140554588,137189928,137334294,137041331,136967356,137378719,137088925,137631746,137628440,137398641,137979826,137454107,137181891,137446349,137558034,138128402,137118594,137377313,137130293,137101517,138481747,137721135,140241863,137374333,137121953,137387530,137103321,136982139,137735846,137419159,137231880,137424360,137608262,137937472,137072213,136987076,137657422,137596954,137610121,137715159,136930208,137397067,137765409,137557912,137878761,137543324,138284425,139429075,137182294,137469816,138107435,137485996,137138438,137290628,137735831,137530431
6,237986486,238053455,237965619,239357477,238082686,240326687,238038728,238190755,238451606,237880197,238015696,238180911,239674963,238250329,237929827,239882656,238946265,238160309,237858225,237671713,238061190,237619589,237569217,238196040,238293325,238175939,237703951,237756921,238183953,238232036,238697901,238105033,237649093,238310008,237834445,238067473,238549283,239851796,238293987,238122781,237945468,237722634,238828417,237614726,238449993,238132075,237645727,238036413,238133986,237888989,237951065,238200300,238765415,238132969,238484594,238151006,238145943,238013746,238158633,238257088,237876719,239429515,237898654,237708918,238609522,238366149,238623144,238749911,237892494,238172031,237918159,239438068,238432547,240031443,238235493,237984445,239720285,238309016,237550250,237806775,238185268,237954329,238400591,238360712,239084873,238416279,238314520,240879627,240187193,237695050,238291974,238366166,237894854,238140051,238057659,238252286,238236466,239596102,238545158,238227094
7,137385244,137688850,137942240,137595061,137443146,137133243,137284277,137312944,137269440,137818832,137229486,138051046,137628500,137484799,137786803,137255854,137682805,137558398,137191249,137177696,137238378,137173189,137462881,138054575,137468270,137285640,137478157,137624135,137195794,137220934,137544549,137900789,137193231,137799113,137282574,137148266,137394065,137791180,137809272,137587548,137445128,136978999,137031608,137782699,137118550,137284480,138327678,137318034,137320730,137590456,137370345,137215254,137514945,137593630,137598832,137280150,137008731,137061437,137542881,137494455,137095906,137777126,137765966,137142167,137482237,137511756,137309625,137228274,137561183,137372998,137207744,137698339,137214835,137532865,137571376,137612172,137227711,137422544,137554807,137253186,137389505,137810047,137511088,137372390,137589138,137422842,136894806,137384694,137424964,136962561,137520287,138106799,137086181,137129800,139829254,137299482,137160563,137156344,137200778,137283396
7,238299559,237815257,238316676,237908389,238366078,238258231,237905382,238120194,239873375,239046764,238055365,238316422,238268467,237964043,237983150,239702592,238259550,238488986,237880621,237986515,238150789,237598567,237762269,238387655,238267936,239213307,238326619,238247150,237924044,238133889,238333276,238265206,237807912,238061874,237916015,238044988,237994003,243328596,238236550,238549603,238376356,238166653,238377957,238233765,237946302,238085116,238238346,238067603,238457484,238122096,239169986,237907617,238137463,238317323,238227088,238061823,237730185,237821710,238356207,238360856,237984266,238128931,238254288,237616257,238264661,238361510,238184384,238416456,238224427,238409303,238109832,238506679,238054223,238446156,238414085,237691263,238483368,238333018,238759685,237852249,238177473,237923719,238424872,238039763,238501547,238176222,237806894,238441083,237705190,237957427,237965355,238215366,237950986,237858611,238538958,237952374,237818749,238163731,238106825,238063058
8,137310121,144102621,137286155,137292566,137479077,137337052,137272420,137638676,140861977,137299411,137048261,137275478,137250250,137457687,137472257,137363211,137159135,137092665,137443838,137172153,137223627,137322384,137292264,137913157,137246847,137515699,137310686,137250508,137358654,137153403,137337474,137499524,137549099,137543278,137142165,137152335,137079571,137195261,137843944,137362252,137549086,138796982,137523550,137409018,137636843,137210247,137869454,137668983,137189135,137684673,137049246,137221492,137362885,137178453,137143029,137290395,137233684,137012179,137725980,137456389,137500990,137150025,137361690,137736343,137244931,137250735,137874573,137652007,137425331,137651517,137502630,137191572,137512482,137657760,137724320,137518101,137197469,137593509,137499576,137102668,137880256,137498353,137558997,137558546,137563291,137737308,137826686,137837568,137485102,137509064,137598032,137406985,137714975,137484181,137728320,137337623,137528321,137365808,137599426,137208416
8,238189147,242245179,238334044,238217783,237738503,238058316,238359182,238420682,239063379,238197903,237918446,237987984,239651676,239709580,238046041,239596309,239194024,237817759,238482110,238110551,237794546,238621771,237840742,238345171,237624866,238142975,238134714,238188219,238123799,237801581,237947619,238122245,240326130,239372299,237743352,237769657,237755856,238418958,239574902,239732202,239824429,239350149,238442465,238286140,238693684,239214875,238176907,238605178,238089428,238013560,237657309,239104599,239788327,238495114,238094892,238423604,237864492,237683987,240751162,241813182,238653985,238092913,238250235,238921384,238167793,237988907,238691050,237909351,238383989,238387773,237733006,238070705,238294051,241986988,238632138,238376790,240020372,237983715,238701622,237887437,238511821,238479359,238106876,238584227,238473053,238658631,238597684,238798889,238311732,238432742,238279834,237978346,238585514,239848705,242304338,238777797,238622956,238051384,238492356,238263012
9,137774948,137433210,137366649,137688160,137552628,137590992,137411055,137814927,137492436,137079970,137611875,137332837,136999370,137418363,137509052,137672368,137745027,137505845,137312302,137165813,137404329,137618188,137172221,137471474,137289262,137872124,137826073,137283186,138617349,137533121,137621328,137942110,137039030,137333665,137930588,137688341,137623279,137085502,137389012,138168036,137654839,137437606,137493125,137245457,137329035,137811791,137702044,137487859,137323439,137961172,137539904,137988638,137439435,137507925,137754884,138031160,137610392,137793653,137957775,137801644,137444985,137661306,137782560,137428663,137315094,137386479,137590604,137809309,137141945,137490461,137497298,137385113,137618373,137413772,137398580,137632451,137517934,137835909,137623236,137812035,138058807,137651404,137707281,137516709,137414279,137778662,137337727,137705729,137799616,137817518,137899334,137788290,138583438,138040996,137723061,137739081,137952980,137949558,137482973,137615185
9,238651922,238023929,239195829,239725433,238680270,238588904,238582454,238411974,238305120,237979998,238495915,238202894,237925876,238261141,238292599,238366148,238488513,238291720,238232412,238232118,237977398,238210886,237967622,237692026,238524503,238438296,238786488,238286979,237730845,238516988,238198398,238620242,237817056,238050110,238553659,238313418,238604259,238029516,238339873,238470622,238545761,238371909,238371135,238099456,238436200,247501330,238761716,238526087,238283224,239057799,238421263,239034199,238347691,238116332,238672873,238909978,238666065,238283812,238840906,238749196,238044768,238377309,237945585,238686584,238496635,238498959,238381218,238719396,237991418,238622261,238630844,238292375,238733750,238161208,238299988,238361807,239653086,238546351,238335105,239504646,238704944,238227850,238537009,238470595,239051725,238544404,238212019,238555995,238538556,239083739,238310270,238782958,238770506,238802489,238623558,238552990,238633790,238512197,238351013,238675087
10,137177458,137794256,137792457,137382222,137844247,137328338,137935233,137729791,137522702,137602402,137742569,137745329,137187887,137875518,137596756,137359829,137694983,138590260,137976482,137948629,137809008,137727528,137422928,137784710,137710092,137864180,138056207,137439604,137575960,137878519,138682449,137340276,137075870,137331457,137262125,137828700,137537704,137403167,137693031,137710814,137767826,137346728,137155937,137797265,137627422,137698399,137532077,137528513,137423625,140423318,137790721,137635317,137607159,137509576,137753658,137849507,137280597,137417367,137824344,137591175,137461185,137559024,137982292,137846813,137439313,137491556,137426992,137736454,137388529,137445280,137571823,137723600,137783088,137825863,137624768,137333892,137501828,137449165,137976247,137889177,137743758,137402076,137872439,137613612,138015472,137409110,137757301,137402245,137989357,137495584,137994738,137448601,137912080,137497931,137266240,137387673,137755565,137452395,137949043,137270516
10,238327966,238464890,238456712,238753429,238551660,238218177,238588673,239079268,238734621,239839872,238619685,238635131,237772149,238834587,238406529,238281289,238609169,238627299,238817739,238541452,238392899,238769125,238490810,240262578,238950307,238486236,238812061,237973706,238459331,238129926,237750737,239091913,237862188,238320696,240763691,238412893,240158763,239702132,238805505,239133910,238579028,237989514,238000042,238696018,238787347,238557593,238320359,238324563,238546521,238012510,238730355,238197913,238726581,238191095,238226938,238666426,238602487,238945606,238613477,238296531,238545037,238667730,238719741,238536804,238463506,239107997,238749164,238283794,238020483,238149280,238701832,238341257,239017147,238689660,238685728,238449830,238144336,238344987,238634693,238437649,238522359,238030838,238549732,238889362,240018121,238411066,238600353,238142118,238493726,238142132,237997358,238380812,238718038,238070480,237995826,238277958,238140935,238493355,238476081,238161711
11,137529162,137387828,137610607,137674393,137530197,137742688,137583849,137359025,137516183,137430356,138783572,139078124,138751882,137510710,138620399,137621268,138544872,139142278,137753363,137384660,137644247,137332847,137113497,137242683,137279402,137844944,137283111,137453988,137300889,137538828,137413439,137321777,137486236,137425210,137238822,137252769,137303801,137607362,137530200,137553355,137513600,137396523,137200412,137282112,137174457,137443342,138024046,137928439,137520220,137373278,137044707,137003061,137360302,137714957,137765657,137487580,137378485,137734856,137498159,137563527,137294568,137412494,137420219,141093613,137412758,137420946,137917284,137535595,137201048,137644724,137506107,137337217,137037394,137391632,137863967,137075697,137741363,137577247,136988188,137324329,137357523,137596727,140896872,137558383,137253637,137278844,137448230,137434443,137651105,137510522,137084510,137512899,137183565,137506012,137200892,137367960,137318770,137265394,137592172,137580533
11,238227495,239904641,238138533,240759408,238192444,239910522,238378229,238417959,238047441,241049936,240869069,238503863,239578663,239612516,239425423,240604184,238506704,239782407,239924875,239531090,238569132,238590961,238028523,238062490,238258730,239571450,238223294,239533562,238308963,238950431,240536314,238778044,239661906,238356324,239636299,237680369,238068905,238560972,238185418,238301235,238000858,238808990,238284400,238300022,238224355,238104399,238418394,238742162,238321830,238249624,237620110,237983413,238402177,238331226,238634800,238254109,238315118,238650546,238150288,238035593,239487251,238452652,237934625,239499393,238157594,238207968,239543469,238165195,238420962,237912083,238100673,238187119,238207024,237916227,238294957,237659024,238145579,238135492,237705023,237889332,238089680,238407364,241028606,237915055,237569245,238016374,238284564,238059228,238441902,238317316,239017782,238030760,237924865,238186270,238035906,238161197,238174590,237857953,238276495,238129517
12,137550896,137410359,137490676,137183233,137360561,137535593,137571400,137373478,137570851,137567252,137540850,137700645,137168604,137603745,137515603,137235369,137436178,137555361,137487766,137827926,137484226,137548426,137955854,137401822,137207575,137013439,137002927,137239075,137075126,137106246,137194940,137014402,137252997,137442832,137319022,137135358,137066794,137165869,137923673,137398619,137231675,137371725,137050545,137200700,137181877,137365884,137116491,136910457,136909496,137220808,137204018,137643888,137424889,137507646,137577081,137211312,137042063,137450503,137324620,137523676,137487459,137114892,137309406,137305336,137469240,137251796,137549271,137300217,137562563,137910941,137249790,137458741,137375565,137532075,137496515,137382787,137080103,139604441,137606599,137180508,137417236,137389629,137363313,137299890,137425380,137142508,137559305,137200868,137145880,137581436,137530167,137375272,137220108,137002168,137523342,137431323,137433386,137189487,137362370,137426529
12,237987211,238005307,238222768,238053165,238400310,238136263,238064299,238033926,237961359,238480393,238372691,238000542,237750063,238071205,238228236,238660865,238053996,238430711,238232910,238425145,238385522,238030781,238139497,239441505,237645504,237801843,237733546,238157139,237589549,237635744,239620795,238935243,239095586,237708774,238321415,237841726,237941601,237894138,237641317,237919515,238019665,238690481,237869337,237797036,237658705,238005426,238717875,237968961,238693415,237838789,237913506,237993313,237813157,237851752,238172606,238962336,238223790,238487380,238571165,238132025,238723185,238117508,238153202,237904493,238403855,238053789,238408233,237929677,238030765,238171471,237749568,238128242,237921285,238230215,238265589,238219601,238126819,238189594,238323199,237866226,238147960,238181421,238327089,238370513,238126738,237808361,237952041,238241078,237645939,237601393,237844054,237796954,237786709,237938274,238017315,237951683,238000326,238142033,238316866,241528322
13,137533772,137167166,137511021,137552017,137608310,137344189,137715027,137078280,137460639,136967098,137329710,137333054,137173808,137461044,139443365,137932856,137568382,137450227,137416012,137454768,137227455,137422228,137335734,137435058,137307689,137548637,136974705,137238084,137429907,137198838,137338313,137800192,137602617,137580657,137279002,137482601,139885174,137761041,137451856,137331656,137331070,137501253,137389425,137489506,137261472,137093302,137332150,137108804,137848715,137329561,137941178,138100656,137194059,137870450,137142610,137421689,137768258,137247377,137540643,137260342,137542821,137897869,137478772,137293730,137661896,137552595,137164904,137768773,137098441,137457202,137519739,137387364,137405685,139200947,137590371,137367735,137110413,137473120,137516162,137576097,137289640,137232693,137618196,137439972,137371643,137265137,137570484,137572965,137242473,137551901,137188863,137508934,137171278,137477632,137260678,137382316,136868953,137612180,137359152,137077076
13,238281973,237867930,237832421,238060094,238048833,238162099,238162555,237828312,237814640,238220385,238165368,237839471,238153570,238047490,237959259,238123647,237973361,238066063,238152568,238061167,237716313,237666666,237986042,238353638,237864282,238217030,237910202,237870035,237983830,237650625,238280266,238093125,238199154,238373061,237845994,238210079,237992497,238098082,237761617,238000308,238211006,238270837,238470326,238299015,237953211,238072715,238160154,238180892,238230601,237898091,237919175,238273778,237679825,238283360,238122020,238148748,238481674,238365076,239447840,237850978,238219574,238013404,237816965,238093581,238041948,238058024,237712130,238409183,238212219,237974537,238566672,238115546,238469613,238071990,237793302,238044302,238361568,238032429,238201975,238116170,238059824,237941074,238273053,238332142,238220126,238195326,238107482,238103587,237776219,237974414,237793064,238051826,238097985,237587038,238185002,238247705,237836545,238103450,237911183,237587035
14,137580381,137593125,137082307,137368006,137446092,137247031,137275886,137492139,137199344,137616570,137731606,137596708,137425288,137505343,137562216,137916973,137143644,137262900,139521418,137423605,137556413,137496218,136921144,137689422,137466656,137263911,137450970,138853121,137363630,137193793,137129007,137616083,137342932,137243021,137009849,137309751,137062515,137284286,137519627,137580552,137967866,137613074,137704312,137712376,137503082,137663923,137266191,137540859,137091777,137322335,137507830,137688003,137484540,137119809,137950647,137592697,137781021,138066625,137732449,137712413,137690822,137609038,137531685,137415552,137859664,137862154,137983442,137833005,137731764,137418223,137555214,137576031,137013662,137123667,137469637,137553569,137321313,137221021,137537867,137075113,137412351,137813724,137308057,137398229,137529824,137713550,136984413,137379724,137463674,137598896,137654298,137072882,137781520,137213725,137186661,137071248,137155321,137114968,137266328,137583371
14,238036818,238180615,238200745,237793186,238199340,238177651,238099315,238229704,237987833,237880336,238386139,237941638,237863912,238188522,238299267,238133179,238022330,237842531,237570427,237799824,237912596,238175636,237894058,238505677,238240033,240401288,237912442,237942685,238137464,237836272,237603222,237955865,237905788,237578304,237885847,237971793,237728873,239248577,238178204,237800545,240884503,237981317,238210857,237868952,238084372,238226519,238062269,238196094,237839114,238030470,239081392,241803303,238607351,237763720,238651468,238317144,238656160,238581528,238589940,238044018,238098394,238380228,238538579,237977428,238228150,238492775,238423732,238273686,239017553,238119910,238475508,238514143,237715966,238216234,238387470,238190550,237883033,238136029,238022684,237964163,237955305,238162373,238173030,238206850,238132815,238255856,237751138,238328735,238178662,238301763,238627572,237877719,238956357,238213717,237995169,238476545,237752819,237825766,237951930,239064257
15,137527040,137653532,137571493,137407048,137519090,138163456,137070308,137363797,137497797,137505914,137410240,137086636,137431720,137316666,137684097,137041222,137413487,137184617,137853011,137037703,137537104,137493695,137281172,137057500,137545443,137619932,137596757,137444121,137622491,137360514,137819513,137567309,137686588,137395222,137224198,137859078,138386971,137593824,137512046,137245399,137784455,137793796,137344686,137782525,137370485,137940177,137086599,137455771,137501358,137527399,137700541,137709652,137709789,137534378,138217618,137362904,137538464,137235111,137668870,137610801,137178428,137269368,137588546,137588836,137564859,137838137,137618157,137677578,137343903,137703650,137862273,137735987,137104286,137589049,137329173,137440409,138081957,137972861,138020831,137634518,137814954,137549392,137660638,137992409,137664511,138089231,137630686,137575121,137783806,137421904,137758868,138855931,137378323,137311107,137441663,138153315,137493385,137510584,137317429,138050903
